RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
29,29,inferiortemporal,right,14.52,14.52,1
30,30,middletemporal,right,14.72,14.72,2
31,31,bankssts,right,15.47,15.47,3
25,25,fusiform,right,17.15,17.15,4
19,19,inferiorparietal,right,17.49,17.49,5
32,32,superiortemporal,right,17.8,17.8,6
17,17,supramarginal,right,19.61,19.61,7
23,23,lateraloccipital,right,20.03,20.03,8
18,18,superiorparietal,right,20.72,20.72,9
20,20,precuneus,right,21.28,21.28,10
26,26,parahippocampal,right,21.62,21.62,11
7,7,rostralmiddlefrontal,right,22.94,22.94,12
34,34,insula,right,23.83,23.83,13
1,1,lateralorbitofrontal,right,24.41,24.41,14
15,15,isthmuscingulate,right,24.44,24.44,15
24,24,lingual,right,24.55,24.55,16
16,16,postcentral,right,24.81,24.81,17
5,5,parstriangularis,right,24.95,24.95,18
6,6,parsopercularis,right,25.27,25.27,19
9,9,caudalmiddlefrontal,right,25.72,25.72,20
14,14,posteriorcingulate,right,26.18,26.18,21
2,2,parsorbitalis,right,26.36,26.36,22
8,8,superiorfrontal,right,26.51,26.51,23
33,33,transversetemporal,right,26.65,26.65,24
10,10,precentral,right,27.21,27.21,25
4,4,medialorbitofrontal,right,27.83,27.83,26
22,22,pericalcarine,right,27.87,27.87,27
28,28,temporalpole,right,27.89,21.54,28
12,12,rostralanteriorcingulate,right,28.09,28.09,29
13,13,caudalanteriorcingulate,right,28.13,28.13,30
11,11,paracentral,right,28.33,28.33,31
21,21,cuneus,right,28.7,28.7,32
36,41,Right-Amygdala,right,31.71,21.08,33
3,3,frontalpole,right,32.76,32.76,34
27,27,entorhinal,right,41.62,18.42,35
35,40,Right-Hippocampus,right,71.26,24.22,36
